英語,学年,品詞,意味
turn on,1,連,（スイッチ）を入れる、つける
help ... with ～ ,1,連,…を～の面で手伝う
All right.,1,連,よろしい。わかった。了解した。
Just a moment.,1,連,ちょっと待って。
turn off,1,連,（スイッチ）をとめる、消す
hers,1,代,彼女のもの
its,1,代,それの、その
us,1,代,私たちを［に］
ours,1,代,私たちのもの
their,1,代,彼らの、彼女らの、それらの
them,1,代,彼ら［彼女ら、それら］を［に］
theirs,1,代,彼ら［彼女ら、それら］のもの
her,1,代,彼女の
his,1,代,彼のもの
of,1,前,【行為の対象】…を、…の、…への
tomorrow,1,名/副,明日（は）
plan,1,名,計画、予定
free,1,形,ひまな
mean,1,動,…を意味する、…のことを言う
forward,1,副,［look forward toで］…を楽しみに待つ
What’s up?,1,連,どうしたのですか。
What’s up?,1,連,どうしたのですか。
sound like,1,連,…のように聞こえる、思える
look forward to,1,連,…を楽しみに待つ
online,1,形,オンラインの
market,1,名,市場
souvenir,1,名,記念品、みやげ
place,1,名,場所、ところ
appear,1,動,現れる、姿を現す
those,1,形,あれらの、それらの
Welcome to ....,1,連,…へようこそ。
also,1,接,そのうえ、さらに
welcome,1,間,ようこそ、いらっしゃい
around,1,前,…のまわりを回って
mom,1,名,お母さん
dad,1,名,お父さん
travel,1,動,旅行する
angry,1,形,怒った、腹を立てた
palace,1,名,宮殿、王宮
exciting,1,形,興奮させるような、わくわくさせるような
late,1,形,遅い、おくれた、遅刻した
I’m sorry.,1,連,ごめんなさい。すみません。
we’re,1,短,we are
excuse,1,名,言い訳、弁解、口実
for,1,前,【利益】…のために［の］
pardon,1,動,[Pardon me? で] 何とおっしゃいましたか。もう一度おっしゃってください。［聞き返すときに用いる]
along,1,前,…に沿って
street,1,名,通り、街路
traffic light,1,名,交通信号
straight,1,副,まっすぐに
factory,1,名,工場
building,1,名,建物、ビル
look for,1,連,…をさがす
Pardon me?,1,連,何とおっしゃいましたか。もう一度おっしゃってください。［聞き返すときに用いる]
Let’s see.,1,連,［考えながら］ええと。そうですね。
go along ,1,連,（通り・道）を進む
for,1,前,【目的・用意】…のために、…を求めて
large,1,形,大きい、広い
ethnic,1,形,民族（特有）の
Africa,1,名,アフリカ
Kenya,1,名,ケニア
volunteer,1,名,ボランティア
need,1,名,困っている状態、貧困
teach,1,動,…に（～を）教える
try,1,動,（…を）試す、やってみる、努力する
best,1,名,最もよいもの、最良の状態
respect,1,動,…を尊敬する、尊重する
become,1,動,…になる
in need,1,連,困っている
do one’s best,1,連,最善を尽くす
try to,1,連,…しようと試みる、努力する
or,1,接,［否定文で］…もまた（～ない）
some,1,形,一部の、（中には）…もある
African,1,形,アフリカ（人）の
reduce,1,動,（サイズ・数量・程度など）を減らす、縮小する
waste,1,名,ごみ、廃棄物
plastic,1,形,プラスチック［ビニール］製の
paper,1,形,紙の
straw,1,名,ストロー
original,1,形,独創的な、独自の
reusable,1,形,再利用できる
course,1,名,［of courseで］もちろん
of course,1,連,もちろん
need to,1,連,…する必要がある
need,1,動,…を必要とする
well,1,名,井戸
other,1,形,（2つの中で）もう1つ［一方］の
village,1,名,村
collect,1,動,…を集める
far,1,副,遠くに［へ］
group,1,名,グループ、団体
build,1,動,…を建てる、つくる
these,1,代,これら、この人たち
money,1,名,金、通貨
on the other hand,1,連,他方では、これに反して
for a long time ,1,連,長い間
for,1,前,【時間・距離】…の間 
server,1,名,給仕、ウェイター
would,1,助,【勧誘・意向・願望・好み】［would like で］…がほしい（のですが）
anything,1,代,［疑問文で］何か
else,1,副,（その）ほかに［の］
full,1,形,いっぱいの、満腹の
would like,1,連,…がほしい（のですが）
would like to,1,連,…したい（のですが）
"No, thank you.",1,連,いいえ、けっこうです。
I’d,1,短,I would
voice,1,名,声
word,1,名,歌詞
cheer,1,動,…を元気づける
concert,1,名,演奏会、コンサート
dome,1,名,丸屋根、ドーム
stage,1,名,舞台、ステージ
performance,1,名,演技、演奏、公演
again,1,副,もう一度、再び、また
all over,1,連,…のいたるところに［で、の］
cheer ... up,1,連,…を元気づける
over,1,前,…のいたるところに、一面に
back,1,副,戻って、返して
during,1,前,…の間ずっと、…の間に
stay,1,動,滞在する、泊まる
snowboarding,1,名,スノーボード（をすること）
Christmas Day,1,名,クリスマス
relax,1,動,くつろぐ
met,1,動,meetの過去形
ice hockey,1,名,アイスホッケー
go back ,1,連,帰る、戻る
at home ,1,連,家で［に］
for,1,前,【原因・理由】…のために、…の理由で
last,1,形,この前の、昨…、先…
did,1,助/動,doの過去形
traditional,1,形,伝統的な
special,1,形,特別な
grandparent,1,名,祖父、祖母
wrote,1,動,writeの過去形
New Year,1,名,新年
rice cake,1,連,もち
Good for you!,1,連,よくやった。
didn’t,1,短,did not
How nice!,1,連,いいね。すばらしい。うれしい。
for,1,前,…にとって
spent,1,動,spendの過去形
spend,1,動,（時）を過ごす
came,1,動,comeの過去形
bought,1,動,buyの過去形
fortune slip,1,名,おみくじ
read,1,動,readの過去形
said,1,動,sayの過去形
charm,1,名,お守り
got,1,動,getの過去形
wooden,1,形,木でできた、木製の
wish,1,名,願い、願い事
board game,1,名,ボードゲーム
have a ... time ,1,連,…な時を過ごす
so,1,副,そんなに、それほど
dear,1,形,親愛なる…（様）［手紙などの書き出しの言葉］
grandma,1,名,おばあちゃん
grandpa,1,名,おじいちゃん
ski,1,動,スキーをする
fell,1,動,fallの過去形
Mt.,1,名,［Mountの略。山の名の前につけて］…山
snow,1,名,雪
outside,1,副,外で［に、へ］
miss,1,動,…がいないのをさびしく思う
care,1,名,世話
go ...ing ,1,連,…しに行く
for the first time,1,連,はじめて
fall down,1,連,倒れる
take care of,1,連,…をだいじにする、［take care of oneself で］体に気をつける
How are you?,1,連,お元気ですか。調子はどうですか。
for,1,前,【特定の日時・機会】…に 
love,1,名,"Love, ［手紙などの結びの言葉］"
remember,1,動,（…を）思い出す、覚えている
bored,1,形,退屈した、うんざりした
were,1,動,areの過去形
realize,1,動,…だと気づく
made,1,動,makeの過去形
mistake,1,名,誤り、まちがい
anyone,1,代,［肯定文で］だれでも
won,1,動,winの過去形
anyway,1,副,とにかく、それでも
at first ,1,連,最初は、はじめのうちは
like ...ing,1,連,…するのが好きである
wasn’t,1,短,was not
weren’t,1,短,were not
chorus contest,1,連,合唱コンクール
place,1,名,順位、立場
win,1,動,…を勝ち取る、獲得する
best,1,形,［goodの最上級］最もよい
hey,1,間,やあ、おい、ちょっと
break,1,名,休憩
then,1,副,そのとき（に）
bring,1,動,…をもたらす
heart,1,名,心臓、心
beat,1,動,どきどきする
way,1,名,道、道筋
each,1,形,それぞれの、各自の
bring back,1,連,…を思い出させる
on one’s way (to) ,1,連,（…へ行く）途中で
show,1,動,（…に）～を［…だと］見せる、示す
these,1,形,これらの
trip,1,名,旅行
campground,1,名,キャンプ場
hot spring,1,名,温泉
set,1,動,setの過去形
set,1,動,…を置く、すえる、配置する
tent,1,名,テント
main,1,形,主な、主要な
campfire,1,名,キャンプファイア
there is［are］,1,連,…がある［いる］
set up,1,連,…を建てる
there’s,1,短,there is
isn’t,1,短,is not
aren’t,1,短,are not
around,1,前,…のまわりに、周囲に
lot,1,名,［a lotまたはlotsで］たいへん、とても
wrong,1,形,ぐあいが悪い
stomachache,1,名,胃痛、腹痛
before,1,前,…の前に［の］
mild,1,形,穏やかな、強くない、軽い
medicine,1,名,薬
rest,1,名,休み、休息
headache,1,名,頭痛
fever,1,名,熱
toothache,1,名,歯痛
What’s wrong?,1,連,どうかしたのですか。
take a rest,1,連,ひと休みする
for,1,前,…として
ran,1,動,runの過去形
relay,1,名,リレー競走
another,1,形,ほかの、別の、ちがった
runner,1,名,走者
behind,1,前,…の後ろに
just,1,副,ちょうど、まさに
naughty,1,形,いたずらな、わんぱくな
trick,1,名,いたずら
crept,1,動,creepの過去形
creep,1,動,はう、こっそり進む
let,1,動,letの過去形
let,1,動,…を～の状態にさせる
shout,1,動,（ …と）叫ぶ
escape,1,動,（…から）逃げる
later,1,副,もっと遅く、あとで
thought,1,動,thinkの過去形
die,1,動,死ぬ
alone,1,形,ひとりだけの、ただ…だけ
one day,1,連,ある日
be full of ,1,連,…でいっぱいである
out of,1,連,…から（外へ）
little,1,形,小さい、かわいい
took,1,動,takeの過去形
vendor,1,名,（屋台の）もの売り、行商人
cart,1,名,カート、手押し車
left,1,動,leaveの過去形
leave,1,動,…を置いていく
brought,1,動,bringの過去形
chestnut,1,名,クリ
heard,1,動,hearの過去形
hear,1,動,…が聞こえる、…を聞く
something,1,代,何か、あるもの
himself,1,代,彼自身を［に］
neighbor,1,名,近所の人、隣人
receive,1,動,…を受け取る
someone,1,代,だれか、ある人
thing,1,名,もの、こと
god,1,名,神
say to oneself,1,連,…とひとり言を言う
bring,1,動,（～に）…を持ってくる、…を連れてくる
through,1,前,【貫通】…を通り抜けて
door,1,名,ドア、戸
into,1,前,【運動・方向】…の中へ［に］
pick,1,動,［pick upで］…を拾い上げる、手に取る
gun,1,名,銃
bang,1,名,（衝突・銃・ドアなどの音を表して）バン、ズドン、バタン、ドン
ground,1,名,地面、土地
fresh,1,形,新鮮な
floor,1,名,床
nod,1,動,うなずく
weakly,1,副,弱く、弱々しく
drop,1,動,…を落とす
smoke,1,名,煙
rose,1,動,riseの過去形
rise,1,動,のぼる、上がる、上昇する
look up,1,連,視線を上げる、見上げる
pick up,1,連,…を拾い上げる、手に取る
stand up,1,連,立ち上がる
sit down,1,連,すわる
teachers’ office,1,連,職員室
wake up,1,連,目が覚める、目を覚ます
get up ,1,連,起きる、起床する
get,1,動,（ある状態）になる
helpful,2,形,役に立つ
conveyor belt,2,名,コンベヤーベルト、移動ベルト
reasonable,2,形,手ごろな
serve,2,動,…を提供する
raw,2,形,生の
offer,2,動,…を提供する
choice,2,名,選択
strength,2,名,濃さ
firmness,2,名,かたさ
assist,2,動,…を助ける、…を手伝う
side dish,2,名,副菜
batter,2,名,生地、衣
spring onion,2,名,ネギ
optional,2,形,自由に選べる
mayonnaise,2,名,マヨネーズ
bonito flake,2,名,かつおぶし
dried green seaweed,2,名,青のり
red pickled ginger,2,名,紅しょうが
instruction,2,名,指示
mix,2,動,…を混ぜる
bowl,2,名,ボウル
aside,2,副,わきへ、別にして
chop,2,動,…を切り刻む
stir,2,動,かき混ぜる
hot plate,2,名,ホットプレート
frying pan,2,名,フライパン
pour,2,動,…を注ぐ
grill,2,動,…を焼く
bottom,2,名,底、裏
flip,2,動,ひっくり返る
garden,2,名,庭
proud,2,形,誇りをもった
cafeteria,2,名,カフェテリア
weekday,2,名,平日
band,2,名,バンド
throughout,2,前,…中
field hockey,2,名,ホッケー
perform,2,動,演じる
celebrate,2,動,…をたたえる
Stanley Park,2,名,スタンレーパーク
hectare,2,名,ヘクタール
aquarium,2,名,水族館
historical,2,形,歴史的な
landmark,2,名,史跡
Capilano Suspension Bridge,2,名,キャピラノつり橋
tourist attraction,2,名,観光名所
foot,2,名,フィート（単位）
hang,2,動,かかる
feet,2,名,フィート。（footの複数形（単位））
above,2,前,…の上に
Capilano River,2,名,キャピラノ川
thrilling,2,形,スリル満点の
Gastown Steam Clock,2,名,ガスタウン蒸気時計
whistle,2,動,（笛が）鳴る
Canada Place,2,名,カナダプレース
locate,2,動,…に位置する
downtown,2,形,中心街の
multi-,2,接頭辞,「多くの…」「多数の…」の意味の語をつくる
Elfie,2,名,エルフィー[イヌの名前]
whole,2,形,全…、全ての
grew,2,動,growの過去形
chase,2,動,…を追いかける
squirrel,2,名,リス
dig,2,動,地面を掘る
folk,2,名,家族、両親
mischief,2,名,いたずら
scold,2,動,…をしかる
except,2,前,…を除いて
quickly,2,副,すばやく
slept,2,動,sleepの過去形
worried,2,形,心配して
pillow,2,名,まくら
bury,2,動,…を埋葬する、…を埋める
hug,2,動,…を抱きしめる
knew,2,動,knowの過去形
mind,2,動,気にする
kitten,2,名,子ネコ
goldfish,2,名,金魚
whatever,2,代,…すること（もの）は何でも
amusement park,2,名,遊園地
shopping arcade,2,名,屋根のある商店街
castle,2,名,城
roller coaster,2,名,ジェットコースター
creature,2,名,生き物、動物
cuisine,2,名,料理
picnic,2,名,ピクニック
open-air,2,形,野外の、戸外の
Portuguese,2,名,ポルトガル人
Western,2,形,西洋風の
-style,2,接尾辞,「…風」「…様式」という意味の語をつくる
recipe,2,名,レシピ
texture,2,名,食感
vary,2,動,異なる、さまざまである
widely,2,副,広く、広範囲に
thin,2,形,さらっとした
-like,2,接尾辞,名詞について、「…のような」という意味の形容詞をつくる
classic,2,形,典型的な
stir-fry,2,動,…を強火でいためる
originally,2,副,もとは、初めは
origin,2,名,起源、始まり
convenience store,2,名,コンビニエンスストア
internationally,2,副,国際的に
anywhere,2,副,どこでも、どこへでも
athlete,2,名,運動選手、アスリート
care worker,2,名,介護士
carpenter,2,名,大工
cartoonist,2,名,マンガ家
confectioner,2,名,菓子職人
gardener,2,名,庭師
hairstylist,2,名,ヘアスタイリスト、美容師
voice actor,2,名,声優
custom,2,名,習慣
manner,2,名,マナー、習慣
rice bowl,2,名,茶わん
grilled fish,2,名,焼き魚
stab,2,動,…をつきさす
neatly,2,副,きちんと
bathtub,2,名,浴そう
gate,2,名,門
elevator,2,名,エレベーター
parking area,2,名,駐車場、駐車区域
double,2,形,２重の
handrail,2,名,手すり
braille,2,名,点字
block,2,名,ブロック、かたまり
mirror,2,名,鏡、ミラー
arrow,2,名,矢印、矢
display,2,名,陳列、展示
touchless,2,形,触れないで作動する
faucet,2,名,（水道・ガスなどの）栓、蛇口
pictogram,2,名,ピクトグラム
per,2,前,…につき
sleeping,2,名,睡眠
commute,2,名,通学、通勤
instrument,2,名,楽器
schedule,2,名,予定（表）、計画（表）
prefecture,2,名,県
brilliant,2,形,あざやかな
remaining,2,形,残っている
structure,2,名,建造物
destructive,2,形,破壊的な
force,2,名,暴力
silver,2,名,銀
mine,2,名,鉱山
landscape,2,名,風景、景色
former,2,形,以前の、前の
hidden,2,形,隠された、秘密の
Christian,2,名,キリスト教徒
church,2,名,教会
prehistoric,2,形,先史時代の
northern,2,形,北の、北部の
period,2,名,時代
subtropical,2,形,亜熱帯の
extensive,2,形,広い、広大な
cedar,2,名,スギ
unspoiled,2,形,害されていない
wildlife,2,名,野生動物
coral reef,2,名,サンゴ礁
jungle,2,名,ジャングル、密林
careless,2,形,不注意な
dirty,2,形,汚い、汚れた
empty,2,形,空の
lucky,2,形,幸運な
unlucky,2,形,不運な
impossible,2,形,不可能な
noisy,2,形,騒がしい、うるさい
wet,2,形,ぬれた、湿った
dry,2,形,乾いた
wide,2,形,幅の広い
narrow,2,形,せまい
across,2,前,…を横切って
shorts,2,名,短パン、ショートパンツ
sneaker,2,名,スニーカー
blouse,2,名,ブラウス
belt,2,名,ベルト
skirt,2,名,スカート
handbag,2,名,ハンドバッグ
sandal,2,名,サンダル
glasses,2,名,メガネ
down vest,2,名,ダウンベスト
knitted,2,形,編まれた、ニットの
scarf,2,名,マフラー、スカーフ
boots,2,名,ブーツ、長靴
dress,2,名,ワンピースの婦人服、ドレス
handkerchief,2,名,ハンカチ
jacket,2,名,ジャケット、ジャンパー
pajama,2,名,パジャマ
suit,2,名,スーツ
tie,2,名,ネクタイ
wallet,2,名,財布
key ring,2,名,キーホルダー
lip balm,2,名,リップクリーム
sunscreen,2,名,日焼け止め（クリーム）
heat pad,2,名,カイロ
plush toy,2,名,ぬいぐるみ
sunglasses,2,名,サングラス
holder,2,名,入れ物
folding,2,形,折りたたみ式の
same,2,形,同じ、同一の
experience,2,名,経験、体験
actually,2,副,実は、本当は
ramen,2,名,ラーメン
instant,2,形,即座の、緊急の、（食べ物が）即席の
noodle,2,名,ヌードル、めん
by the way,2,連,ところで
experience,2,動,…を経験する
golden,2,形,金色の、すばらしい
holiday,2,名,休日、休暇
Singapore,2,名,シンガポール
flight,2,名,飛ぶこと、飛行、（飛行機の）便、空の旅
arrive,2,動,到着する
airport,2,名,空港、飛行場
soon,2,副,すぐに、まもなく
See you.,2,連,またね。
be going to ,2,連,…するつもりだ
around,2,前,…のあちこちに［で、を］
for,2,前,【方向・行き先】…に、…へ
leave,2,動,去る、出発する
show,2,動,…を案内する
will,2,助,【単なる未来】…でしょう、…だろう
excited,2,形,わくわくした
seafood,2,名,シーフード
reservation,2,名,予約
you’ll,2,短,you will
I’ll,2,短,I will
will,2,助,【意志】…するつもりだ
meter,2,名,メートル
tall,2,形,［身長・高さを表す名詞のあとに用いて］身長［高さ］が…ある
weigh,2,動,…の重さがある
ton,2,名,トン
found,2,動,findの過去形
find,2,動,…を見つける、発見する
language,2,名,言語、言葉
dollar,2,名,ドル
example,2,名,例、実例
communicate,2,動,連絡する、意思の疎通をする
for example,2,連,例えば
Chinese,2,名,中国語
different,2,形,ちがう、異なる
of,2,前,【主題】…について
painting,2,名,（絵の具でかいた）絵、絵画
wall,2,名,かべ
surprised,2,形,驚いた、びっくりした
area,2,名,区域、場所、地域
India,2,名,インド
mosque,2,名,モスク、イスラム教寺院
culture,2,名,文化
with,2,前,【携帯・所有】…を身につけて、…のある
especially,2,副,特に、とりわけ
order,2,動,…を注文する
topping,2,名,トッピング
various,2,形,いろいろな
flavor,2,名,（独特な）味、（香りもふくめた）風味
soy sauce,2,名,しょうゆ
salt,2,名,塩、食塩
and so on,2,連,…など
and so on,2,連,…など
so,2,副,そのように、そう
speech,2,名,スピーチ、演説
sometime,2,副,いつか、そのうち
if,2,接,【条件・仮定】もし…ならば
add,2,動,（ ～に）…を加える、足す
butter,2,名,バター
would love to,2,連,…したい（のですが）
interested,2,形,興味を持っている
forget,2,動,（ …を）忘れる
kind,2,名,種類
-based,2,形,…をベースにした
because,2,接,…だから、…なので
thick,2,形,濃い、どろっとした
recommended,2,形,おすすめの
manufacturer,2,名,製造業者、メーカー
early,2,副,早く
be interested in,2,連,…に興味がある
... kind(s) of ～,2,連,…種類の～
stay,2,動,…のままでいる
with,2,前,【道具・手段】…で、…を使って
reflect,2,動,（物事・考えなど）を反映する
climate,2,名,気候
lives,2,名,lifeの複数形
creativity,2,名,創造性［力］、独創性［力］
chef,2,名,シェフ、コック長
foreign,2,形,外国（へ［から］）の
variation,2,名,変化、変種
Italy,2,名,イタリア
create,2,動,…を創造する、つくり出す
sauce,2,名,ソース
change,2,動,変わる、変化する
come from,2,連,…出身である、…から来ている
Here is [are] ....,2,連,これが…です。ここに…があります。…をどうぞ。
name ... after ～,2,連,～にちなんで（人など）を…と名づける
after,2,前,…にならって、ちなんで
another,2,形,もう1つ［1人］の
traveler,2,名,旅行者
resident,2,名,住民、居住者
may,2,助,【許可】…してもよい
ask,2,動,…に（～を）たのむ
favor,2,名,親切な行為
could,2,助,canの過去形。【ていねいな依頼】Could you ...?　…してくださいませんか。
menu,2,名,メニュー
ask ... a favor,2,連,…にお願いする
Say cheese!,2,連,はい、チーズ！
May I ...?,2,連,…してもよいですか。
career,2,名,職業
information,2,名,情報
international,2,形,国際的な
nursery,2,名,保育所、託児所
note,2,名,メモ、覚え書き
own,2,形,自分自身の、独自の
tag,2,名,つけ札、下げ札、荷札
chopstick,2,名,［ふつうchopsticksで］（食事用の）はし
picture book,2,名,（主に子供用の）絵本、図鑑
nursery school,2,連,保育園
chose,2,動,chooseの過去形
choose,2,動,…を選ぶ
colorful,2,形,色彩に富んだ
illustration,2,名,例、挿絵、図、イラスト、（図・例などによる）説明
How about ...?,2,連,［提案・勧誘］…どうですか。
pretty,2,形,かわいい、きれいな
taught,2,動,teachの過去形
important,2,形,重要な、大切な
moon,2,名,（天体の）月
lay,2,動,lieの過去形
lie,2,動,位置する、ある
leaf,2,名,（草木の）葉
pop,2,名,ポンと鳴る音
tiny,2,形,ごく小さい
caterpillar,2,名,イモムシ、毛虫
pear,2,名,西洋ナシ、西洋ナシの木
plum,2,名,西洋スモモ、プラム
come up,2,連,のぼる
come out of,2,連,…から出てくる
light,2,名,光
learn,2,動,（…を）学ぶ、習う
necessary,2,形,必要な
adjust,2,動,…を調節する
speed,2,名,スピード、速度
story,2,名,話、物語
difficult,2,形,難しい、困難な
sentence,2,名,文
clearly,2,副,はっきりと
understand,2,動,（…を）理解する、わかる
smile,2,動,ほほえむ、微笑する
clap,2,動,（手）をたたく、（人・演技など）に拍手する
glad,2,形,うれしい
loud,2,副,大きな声で
sincerely,2,副,心から、本気で、誠実に
