語句,単元名,意味
sheep,名,ヒツジ
kiwi,名,キーウィ［動物名］
right,形,正しい、正確な
enjoy oneself,連,楽しむ、楽しく過ごす
look at,連,…を見る
kiwi,名,キウイフルーツ（＝kiwi fruit）
poster,名,ポスター、広告
age,名,年齢
movie,名,映画
student,名,学生、生徒
much,副,［動詞を修飾して］おおいに、たいへん
starter,名,先発メンバー
famous,形,有名な
tell,動,…に（～を）話す、教える
very much,連,とても、たいへん
every day,連,毎日
favorite,名,大好きなもの［人］
of,前,【所属・所有】…の、…の所有する、…に属する
as,前,…として
tour,名,旅行、ツアー、見学
guide,名,ガイド、案内人
write,動,（…を）書く
blog,名,ブログ
local,形,（ある）地方の、地元の
beautiful,形,美しい
spot,名,地点、場所
his,代,彼の
... year(s) old,連,…歳、創立…年
enjoy ...ing,連,…して楽しむ
any,形,［疑問文などで］いくらかの、何らかの
does,助,［疑問文や応答を作る］
has,助/動,haveの三人称単数現在形
there,副,そこに［で、へ］
surf,動,サーフィン［波乗り］をする
life,名,生活、暮らし
doesn’t,短,does not
does,助,［否定文を作る］
cafe,名,喫茶店、カフェ
website,名,ウェブサイト
popular,形,人気のある
owner,名,所有者、持ち主
know,動,（…を）知っている、わかる
patty,名,パティ（ひき肉などを丸く平たい形にして焼いたもの）
fried,形,油であげた、油でいためた
top,名,表面、上部
wonderful,形,すばらしい、すてきな
fried egg ,連,目玉焼き
on top of,連,…の上に
him,代,彼を［に］
say,動,（…を）言う、…だと言う
everything,代,何でも、全てのもの［こと］
show,名,ショー
her,代,彼女を［に］
performer,名,演技者
U.K.,名,the U.K. 英国
together,副,いっしょに、ともに
Why don’t we ...?,連,…しませんか。
how’s,短,how is
for,前,【用途・適合】…するための、…に適した、…向けの
minute,名,（時間の単位の）分
wait,動,待つ
whose,代,だれの、だれのもの
yours,代,あなた（たち）のもの
mine,代,私のもの
maybe,副,たぶん、もしかすると
careful,形,注意深い
crowded,形,こみ合った、満員の
history,名,歴史
still,副,まだ、今でも
over,前,…より多く、…をこえて
(Riko)'s,ー,［名詞の所有格を作る］（理子）の
Thanks.,連,ありがとう。
be careful with,連,…のあつかいに気をつける
How old ...?,連,何歳で、作られてからどれくらいで
with,前,【関係・対象】…に関して、…について
here,副,ここに［で、へ］
cushion,名,クッション、ざぶとん
different,形,いろいろな
role,名,役、役割
use,動,…を使う、利用する、消費する
only,副,ただ…だけ
prop,名,小道具
which,代,どちら、どれ、どちらの人［もの］
or,接,…かまたは～、…や～
casual,形,カジュアルな、くだけた、ふだん着の
large,形,多い、多数の
collection,名,収集したもの、コレクション
for,前,【対象】…に対して
open,動,（ …を）開く、あける
close,動,…を閉じる、終える
window,名,窓
sure,副,［返事で］もちろん、いいとも
problem,名,問題
little,副,［a littleで］少し
dark,形,暗い
light,名,明かり、電灯
just,副,ただ…だけ、ほんの、ちょっと
moment,名,瞬間、ちょっとの間
off,副,（電気・ガス・水道などが）切れて、とまって
borrow,動,…を借りる
No problem.,連,いいですよ。もちろん。
a little,連,少し
turn on,連,（スイッチ）を入れる、つける
help ... with ～ ,連,…を～の面で手伝う
All right.,連,よろしい。わかった。了解した。
Just a moment.,連,ちょっと待って。
turn off,連,（スイッチ）をとめる、消す
hers,代,彼女のもの
its,代,それの、その
us,代,私たちを［に］
ours,代,私たちのもの
their,代,彼らの、彼女らの、それらの
them,代,彼ら［彼女ら、それら］を［に］
theirs,代,彼ら［彼女ら、それら］のもの
her,代,彼女の
his,代,彼のもの
of,前,【行為の対象】…を、…の、…への
tomorrow,名/副,明日（は）
plan,名,計画、予定
free,形,ひまな
mean,動,…を意味する、…のことを言う
forward,副,［look forward toで］…を楽しみに待つ
What’s up?,連,どうしたのですか。
What’s up?,連,どうしたのですか。
sound like,連,…のように聞こえる、思える
look forward to,連,…を楽しみに待つ
online,形,オンラインの
market,名,市場
souvenir,名,記念品、みやげ
place,名,場所、ところ
appear,動,現れる、姿を現す
those,形,あれらの、それらの
Welcome to ....,連,…へようこそ。
also,接,そのうえ、さらに
welcome,間,ようこそ、いらっしゃい
around,前,…のまわりを回って
mom,名,お母さん
dad,名,お父さん
travel,動,旅行する
angry,形,怒った、腹を立てた
palace,名,宮殿、王宮
exciting,形,興奮させるような、わくわくさせるような
late,形,遅い、おくれた、遅刻した
I’m sorry.,連,ごめんなさい。すみません。
we’re,短,we are
excuse,名,言い訳、弁解、口実
for,前,【利益】…のために［の］
pardon,動,[Pardon me? で] 何とおっしゃいましたか。もう一度おっしゃってください。［聞き返すときに用いる]
along,前,…に沿って
street,名,通り、街路
traffic light,名,交通信号
straight,副,まっすぐに
factory,名,工場
building,名,建物、ビル
look for,連,…をさがす
Pardon me?,連,何とおっしゃいましたか。もう一度おっしゃってください。［聞き返すときに用いる]
Let’s see.,連,［考えながら］ええと。そうですね。
go along ,連,（通り・道）を進む
for,前,【目的・用意】…のために、…を求めて
large,形,大きい、広い
ethnic,形,民族（特有）の
Africa,名,アフリカ
Kenya,名,ケニア
volunteer,名,ボランティア
need,名,困っている状態、貧困
teach,動,…に（～を）教える
try,動,（…を）試す、やってみる、努力する
best,名,最もよいもの、最良の状態
respect,動,…を尊敬する、尊重する
become,動,…になる
in need,連,困っている
do one’s best,連,最善を尽くす
try to,連,…しようと試みる、努力する
or,接,［否定文で］…もまた（～ない）
some,形,一部の、（中には）…もある
African,形,アフリカ（人）の
reduce,動,（サイズ・数量・程度など）を減らす、縮小する
waste,名,ごみ、廃棄物
plastic,形,プラスチック［ビニール］製の
paper,形,紙の
straw,名,ストロー
original,形,独創的な、独自の
reusable,形,再利用できる
course,名,［of courseで］もちろん
of course,連,もちろん
need to,連,…する必要がある
need,動,…を必要とする
well,名,井戸
other,形,（2つの中で）もう1つ［一方］の
village,名,村
collect,動,…を集める
far,副,遠くに［へ］
group,名,グループ、団体
build,動,…を建てる、つくる
these,代,これら、この人たち
money,名,金、通貨
on the other hand,連,他方では、これに反して
for a long time ,連,長い間
for,前,【時間・距離】…の間 
server,名,給仕、ウェイター
would,助,【勧誘・意向・願望・好み】［would like で］…がほしい（のですが）
anything,代,［疑問文で］何か
else,副,（その）ほかに［の］
full,形,いっぱいの、満腹の
would like,連,…がほしい（のですが）
would like to,連,…したい（のですが）
"No, thank you.",連,いいえ、けっこうです。
I’d,短,I would
voice,名,声
word,名,歌詞
cheer,動,…を元気づける
concert,名,演奏会、コンサート
dome,名,丸屋根、ドーム
stage,名,舞台、ステージ
performance,名,演技、演奏、公演
again,副,もう一度、再び、また
all over,連,…のいたるところに［で、の］
cheer ... up,連,…を元気づける
over,前,…のいたるところに、一面に
back,副,戻って、返して
during,前,…の間ずっと、…の間に
stay,動,滞在する、泊まる
snowboarding,名,スノーボード（をすること）
Christmas Day,名,クリスマス
relax,動,くつろぐ
met,動,meetの過去形
ice hockey,名,アイスホッケー
go back ,連,帰る、戻る
at home ,連,家で［に］
for,前,【原因・理由】…のために、…の理由で
last,形,この前の、昨…、先…
did,助/動,doの過去形
traditional,形,伝統的な
special,形,特別な
grandparent,名,祖父、祖母
wrote,動,writeの過去形
New Year,名,新年
rice cake,連,もち
Good for you!,連,よくやった。
didn’t,短,did not
How nice!,連,いいね。すばらしい。うれしい。
for,前,…にとって
spent,動,spendの過去形
spend,動,（時）を過ごす
came,動,comeの過去形
bought,動,buyの過去形
fortune slip,名,おみくじ
read,動,readの過去形
said,動,sayの過去形
charm,名,お守り
got,動,getの過去形
wooden,形,木でできた、木製の
wish,名,願い、願い事
board game,名,ボードゲーム
have a ... time ,連,…な時を過ごす
so,副,そんなに、それほど
dear,形,親愛なる…（様）［手紙などの書き出しの言葉］
grandma,名,おばあちゃん
grandpa,名,おじいちゃん
ski,動,スキーをする
fell,動,fallの過去形
Mt.,名,［Mountの略。山の名の前につけて］…山
snow,名,雪
outside,副,外で［に、へ］
miss,動,…がいないのをさびしく思う
care,名,世話
go ...ing ,連,…しに行く
for the first time,連,はじめて
fall down,連,倒れる
take care of,連,…をだいじにする、［take care of oneself で］体に気をつける
How are you?,連,お元気ですか。調子はどうですか。
for,前,【特定の日時・機会】…に 
love,名,"Love, ［手紙などの結びの言葉］"
remember,動,（…を）思い出す、覚えている
bored,形,退屈した、うんざりした
were,動,areの過去形
realize,動,…だと気づく
made,動,makeの過去形
mistake,名,誤り、まちがい
anyone,代,［肯定文で］だれでも
won,動,winの過去形
anyway,副,とにかく、それでも
at first ,連,最初は、はじめのうちは
like ...ing,連,…するのが好きである
wasn’t,短,was not
weren’t,短,were not
chorus contest,連,合唱コンクール
place,名,順位、立場
win,動,…を勝ち取る、獲得する
best,形,［goodの最上級］最もよい
hey,間,やあ、おい、ちょっと
break,名,休憩
then,副,そのとき（に）
bring,動,…をもたらす
heart,名,心臓、心
beat,動,どきどきする
way,名,道、道筋
each,形,それぞれの、各自の
bring back,連,…を思い出させる
on one’s way (to) ,連,（…へ行く）途中で
show,動,（…に）～を［…だと］見せる、示す
these,形,これらの
trip,名,旅行
campground,名,キャンプ場
hot spring,名,温泉
set,動,setの過去形
set,動,…を置く、すえる、配置する
tent,名,テント
main,形,主な、主要な
campfire,名,キャンプファイア
there is［are］,連,…がある［いる］
set up,連,…を建てる
there’s,短,there is
isn’t,短,is not
aren’t,短,are not
around,前,…のまわりに、周囲に
lot,名,［a lotまたはlotsで］たいへん、とても
wrong,形,ぐあいが悪い
stomachache,名,胃痛、腹痛
before,前,…の前に［の］
mild,形,穏やかな、強くない、軽い
medicine,名,薬
rest,名,休み、休息
headache,名,頭痛
fever,名,熱
toothache,名,歯痛
What’s wrong?,連,どうかしたのですか。
take a rest,連,ひと休みする
for,前,…として
ran,動,runの過去形
relay,名,リレー競走
another,形,ほかの、別の、ちがった
runner,名,走者
behind,前,…の後ろに
just,副,ちょうど、まさに
naughty,形,いたずらな、わんぱくな
trick,名,いたずら
crept,動,creepの過去形
creep,動,はう、こっそり進む
let,動,letの過去形
let,動,…を～の状態にさせる
shout,動,（ …と）叫ぶ
escape,動,（…から）逃げる
later,副,もっと遅く、あとで
thought,動,thinkの過去形
die,動,死ぬ
alone,形,ひとりだけの、ただ…だけ
one day,連,ある日
be full of ,連,…でいっぱいである
out of,連,…から（外へ）
little,形,小さい、かわいい
took,動,takeの過去形
vendor,名,（屋台の）もの売り、行商人
cart,名,カート、手押し車
left,動,leaveの過去形
leave,動,…を置いていく
brought,動,bringの過去形
chestnut,名,クリ
heard,動,hearの過去形
hear,動,…が聞こえる、…を聞く
something,代,何か、あるもの
himself,代,彼自身を［に］
neighbor,名,近所の人、隣人
receive,動,…を受け取る
someone,代,だれか、ある人
thing,名,もの、こと
god,名,神
say to oneself,連,…とひとり言を言う
bring,動,（～に）…を持ってくる、…を連れてくる
through,前,【貫通】…を通り抜けて
door,名,ドア、戸
into,前,【運動・方向】…の中へ［に］
pick,動,［pick upで］…を拾い上げる、手に取る
gun,名,銃
bang,名,（衝突・銃・ドアなどの音を表して）バン、ズドン、バタン、ドン
ground,名,地面、土地
fresh,形,新鮮な
floor,名,床
nod,動,うなずく
weakly,副,弱く、弱々しく
drop,動,…を落とす
smoke,名,煙
rose,動,riseの過去形
rise,動,のぼる、上がる、上昇する
look up,連,視線を上げる、見上げる
pick up,連,…を拾い上げる、手に取る
stand up,連,立ち上がる
sit down,連,すわる
teachers’ office,連,職員室
wake up,連,目が覚める、目を覚ます
get up ,連,起きる、起床する
get,動,（ある状態）になる
same,形,同じ、同一の
experience,名,経験、体験
actually,副,実は、本当は
ramen,名,ラーメン
instant,形,即座の、緊急の、（食べ物が）即席の
noodle,名,ヌードル、めん
by the way,連,ところで
experience,動,…を経験する
golden,形,金色の、すばらしい
holiday,名,休日、休暇
Singapore,名,シンガポール
flight,名,飛ぶこと、飛行、（飛行機の）便、空の旅
arrive,動,到着する
airport,名,空港、飛行場
soon,副,すぐに、まもなく
See you.,連,またね。
be going to ,連,…するつもりだ
around,前,…のあちこちに［で、を］
for,前,【方向・行き先】…に、…へ
leave,動,去る、出発する
show,動,…を案内する
will,助,【単なる未来】…でしょう、…だろう
excited,形,わくわくした
seafood,名,シーフード
reservation,名,予約
you’ll,短,you will
I’ll,短,I will
will,助,【意志】…するつもりだ
meter,名,メートル
tall,形,［身長・高さを表す名詞のあとに用いて］身長［高さ］が…ある
weigh,動,…の重さがある
ton,名,トン
found,動,findの過去形
find,動,…を見つける、発見する
language,名,言語、言葉
dollar,名,ドル
example,名,例、実例
communicate,動,連絡する、意思の疎通をする
for example,連,例えば
Chinese,名,中国語
different,形,ちがう、異なる
of,前,【主題】…について
painting,名,（絵の具でかいた）絵、絵画
wall,名,かべ
surprised,形,驚いた、びっくりした
area,名,区域、場所、地域
India,名,インド
mosque,名,モスク、イスラム教寺院
culture,名,文化
with,前,【携帯・所有】…を身につけて、…のある
especially,副,特に、とりわけ
order,動,…を注文する
topping,名,トッピング
various,形,いろいろな
flavor,名,（独特な）味、（香りもふくめた）風味
soy sauce,名,しょうゆ
salt,名,塩、食塩
and so on,連,…など
and so on,連,…など
so,副,そのように、そう
speech,名,スピーチ、演説
sometime,副,いつか、そのうち
if,接,【条件・仮定】もし…ならば
add,動,（ ～に）…を加える、足す
butter,名,バター
would love to,連,…したい（のですが）
interested,形,興味を持っている
forget,動,（ …を）忘れる
kind,名,種類
-based,形,…をベースにした
because,接,…だから、…なので
thick,形,濃い、どろっとした
recommended,形,おすすめの
manufacturer,名,製造業者、メーカー
early,副,早く
be interested in,連,…に興味がある
... kind(s) of ～,連,…種類の～
stay,動,…のままでいる
with,前,【道具・手段】…で、…を使って
reflect,動,（物事・考えなど）を反映する
climate,名,気候
lives,名,lifeの複数形
creativity,名,創造性［力］、独創性［力］
chef,名,シェフ、コック長
foreign,形,外国（へ［から］）の
variation,名,変化、変種
Italy,名,イタリア
create,動,…を創造する、つくり出す
sauce,名,ソース
change,動,変わる、変化する
come from,連,…出身である、…から来ている
Here is [are] ....,連,これが…です。ここに…があります。…をどうぞ。
name ... after ～,連,～にちなんで（人など）を…と名づける
after,前,…にならって、ちなんで
another,形,もう1つ［1人］の
traveler,名,旅行者
resident,名,住民、居住者
may,助,【許可】…してもよい
ask,動,…に（～を）たのむ
favor,名,親切な行為
could,助,canの過去形。【ていねいな依頼】Could you ...?　…してくださいませんか。
menu,名,メニュー
ask ... a favor,連,…にお願いする
Say cheese!,連,はい、チーズ！
May I ...?,連,…してもよいですか。
career,名,職業
information,名,情報
international,形,国際的な
nursery,名,保育所、託児所
note,名,メモ、覚え書き
own,形,自分自身の、独自の
tag,名,つけ札、下げ札、荷札
chopstick,名,［ふつうchopsticksで］（食事用の）はし
picture book,名,（主に子供用の）絵本、図鑑
nursery school,連,保育園
chose,動,chooseの過去形
choose,動,…を選ぶ
colorful,形,色彩に富んだ
illustration,名,例、挿絵、図、イラスト、（図・例などによる）説明
How about ...?,連,［提案・勧誘］…どうですか。
pretty,形,かわいい、きれいな
taught,動,teachの過去形
important,形,重要な、大切な
moon,名,（天体の）月
lay,動,lieの過去形
lie,動,位置する、ある
leaf,名,（草木の）葉
pop,名,ポンと鳴る音
tiny,形,ごく小さい
caterpillar,名,イモムシ、毛虫
pear,名,西洋ナシ、西洋ナシの木
plum,名,西洋スモモ、プラム
come up,連,のぼる
come out of,連,…から出てくる
light,名,光
learn,動,（…を）学ぶ、習う
necessary,形,必要な
adjust,動,…を調節する
speed,名,スピード、速度
story,名,話、物語
difficult,形,難しい、困難な
sentence,名,文
clearly,副,はっきりと
understand,動,（…を）理解する、わかる
smile,動,ほほえむ、微笑する
clap,動,（手）をたたく、（人・演技など）に拍手する
glad,形,うれしい
loud,副,大きな声で
sincerely,副,心から、本気で、誠実に
Thank you［Thanks］for ....,連,…をありがとう。
again and again,連,何度も何度も
from now on,連,これからは、今後は
"Sincerely (yours),",連,（手紙の結びで）敬具
flour,名,小麦粉
cabbage,名,キャベツ
crispy,形,カリカリした
tasty,形,おいしい、味がよい
easily,副,簡単に、楽に、すぐに
ingredient,名,（料理などの）材料
reason,名,理由、根拠
of,前,【性質・特徴】…の
check,動,…を調べる、チェックする
however,副,しかしながら、けれども
easy,形,やさしい、簡単な
ago,副,（今から）…前に
timekeeping,名,時間の計測
ancient,形,古代の
Egyptian,名,エジプト人
put,動,putの過去形
put,動,…を置く、入れる、つける
stick,名,棒
shadow,名,影
told,動,tellの過去形
long ago,連,ずっと前に
some of,連,…のうちいくつか［いく人か］
about,副,およそ、約、…ごろ
some,代,いくらか、多少、少し、数人
measure,動,…をはかる
without,前,…なしで［に］
pot,名,つぼ、かめ
hole,名,穴
decrease,動,減る、減少する
line,名,線、電線、路線
fire,名,火、炎
burn,動,…を燃やす
candle,名,ろうそく
gave,動,giveの過去形
give,動,（～に）…を与える、渡す、もたらす
at night,連,夜に（は）
little by little,連,少しずつ
little by little,連,少しずつ
could,助,canの過去形。【能力・可能】…することができた
little,代,［little by littleで］少しずつ
other,形,ほかの、別の
mechanical,形,機械の
weight,名,重いもの、おもり
power,動,…に動力を供給する、…を動力で動かす
hour,名,時刻
bell,名,ベルや鈴、かね（の音）
heavy,形,重い
move,動,…を動かす
improve,動,…を改善する、上達させる
light,形,軽い
eventually,副,最後には、ようやく
began,動,beginの過去形
begin,動,…を始める
carry,動,…を（持ち）運ぶ、…を持っていく
begin to,連,…し始める
type,名,タイプ、種類
result,名,結果
invention,名,発明、発明品
effort,名,努力
even,副,…でさえ
recognize,動,（見たり聞いたりして）…とわかる、…を認識する
idea,名,考え、アイディア
technology,名,（科学）技術、テクノロジー
wisdom,名,知恵、英知
it is time to,連,…すべき時である
improve,動,よくなる、進歩する
homestay,名,ホームステイ
advice,名,忠告、助言
member,名,一員、メンバー
guest,名,客、泊まり客
follow,動,…に従う、…を守る
rule,名,規則、ルール
host,名,（招待した客をもてなす）主人（役）
perfect,形,完全な、完ぺきな、最適な
have to ,連,…しなければならない
don’t [doesn’t] have to,連,…しなくてよい
host family ,連,ホストファミリー［ホームステイ先の家族］
ask,動,（…を［に］）たずねる、質問する
must,助,…しなければならない
shower,名,シャワー
limit,名,限界、限度、制限
mustn’t,短,must not
must not,連,…してはいけない
elderly,形,年配の
couple,名,夫婦
living room,名,居間、リビングルーム
finish,動,…を終える
nothing,代,何も…ない
should,助,…すべきである
plate,名,（浅い）取り皿
hurt,動,…を傷つける
feeling,名,感情、気持ち
go to bed,連,床につく、寝る
after,接,…したあとで
much,形,［数えられない名詞につけて］多くの、多量の
much,代,多量、たくさん
answer,動,…に答える
enter,動,（場所）に入る
explain,動,…を説明する
felt,動,feelの過去分詞
feel,動,…と感じる、気持ちがする
end,名,（期間、行為などの）終わり、最後
kept,動,keepの過去形
keep,動,［keep ...ingで］…し続ける
carefully,副,注意深く
take off,連,（服など）を脱ぐ
feel like ...ing,連,…したい気がする
in the end,連,結局
each other,連,たがい（に）
keep ...ing,連,…し続ける
in the future ,連,未来に、将来に
couldn’t,短,could not
listen to,連,…を聞く
felt,動,feelの過去形
get,動,着く、到着する
near,形,近い、近くの
off,副,脱いで
other,代,別の人［もの］、ほかの人［もの］
Mrs.,名,［結婚している女性をさして］…さん、先生
precious,形,貴重な、大切な
able,形,［be able toで］ …することができる
be able to,連,…することができる
"Best wishes,",連,それでは。［手紙の結びの言葉］
wish,名,祝福の言葉、祈り
universal,形,全ての人々の
design,名,デザイン
fair,名,博覧会、フェア
bottle,名,びん、ボトル
automatic,形,（機械などが）自動式の、機械的な、無意識の
adjustable,形,調節可能な
public,形,公の、公共の
touch,動,…にさわる、ふれる
product,名,製品
facility,名,施設、設備
city hall,名,市役所
how to,連,…する方法、どう…するか
staff,名,職員、従業員
tap,動,…を軽くたたく、トントン［コツコツ］たたく
castanets,名,［複数あつかい］カスタネット
both,接,［both ... and ～で］…も～も両方
left-handed,形,左利きの、左利き用の
right-handed,形,右利きの、右利き用の
over here,連,こちらに、こちらでは
thanks to,連,…のおかげで
over,副,向こうへ、あちらへ、こちらへ
paper,名,紙、用紙
useful,形,役に立つ、有用な
sign,名,標識、看板、掲示
young,形,若い、幼い
ramp,名,スロープ
stair,名,［stairsで］階段
wheelchair,名,車いす
pull,動,…をひく、ひっぱる
baggage,名,（旅行者の）手荷物
baby,名,赤ん坊
presentation,名,発表、プレゼンテーション
next,副,次に、今度は
sure,形,確信して
American,形,アメリカの、アメリカ人の
professor,名,教授
childhood,名,子供のころ
remove,動,…を取り除く
barrier,名,壁、障壁
disabled,形,体の不自由な
regardless,副,何があっても、とにかく、（困難・忠告などに）おかまいなしに
ability,名,（…する）能力、…できること、才能
situation,名,立場、境遇、状況、情勢、場面
found,動,…を創立する
center,名,（活動などの）中心地、センター
spread,動,spreadの過去形
spread,動,…を広げる、広める
accessible,形,（…にとって）使いやすい、（…にとって）行きやすい
(1970)s,ー,（1970）年代
regardless of,連,…にかかわらず
trivia,名,雑学的な知識
quiz,名,クイズ
court,名,（テニス・バレーボールなどの）コート
than,接/前,…よりも
survey,名,調査
curling,名,カーリング
more,副,［比較級を作る］（～より）もっと…
strategy,名,戦略、作戦、計画、対策
skill,名,腕前、技術
most,副,［最上級を作る］いちばん…、最も…
answer,名,答え、返事
graph,名,グラフ、図表
according,副,［according toで］…によれば
percent,名,パーセント
such,形,そのような、このような
conclusion,名,結論、決定、結末、結び
half,名,半分、2分の1
better,副,［well、very muchの比較級］よりよく、より以上に
according to,連,…によれば
as for,連,…について言えば
... such as ～,連,～のような…
in conclusion,連,最後に、結論として
more than,連,…より多くの人［もの、こと］
as,前,…のような
best,副,［well、very muchの最上級］最もよく、いちばん（うまく）
find,動,…に気がつく、…がわかる
for,前,【関連】…については
more,形,［many、muchの比較級］もっと多くの
then,副,それから、その次に
as,接,【比較】～と同じくらい…［ふつうas ... as ～の形で用いられる。前のasは副詞］
feedback,名,意見、フィードバック
speaker,名,話す人、演説者
content,名,中身、内容
delivery,名,話しぶり
clear,形,はっきりした
contact,名,接触
comment,名,批評、コメント
topic,名,話題、トピック
spoke,動,speak の過去形
data,名,資料、データ
slide,名,（プレゼンテーション用の）スライド
letter,名,文字
eye contact,連,視線を合わすこと、アイコンタクト
goodbye,間,さようなら
shall,助,【提案・勧誘】［相手の意思をたずねて］Shall I ［we］...? …しましょうか。
direction,名,方向、方角
change trains,連,電車を乗りかえる
get to ,連,…に着く、到着する
change,動,（電車など）を乗りかえる
which,形,どちらの、どの
artificial,形,人工の、人工的な、人造の
turf,名,芝、芝地
field,名,競技場、（陸上競技の）フィールド
video,名,映像、動画
unique,形,特有の、独特な、ただ一つの、唯一の
almost,副,ほとんど
belong,動,［belong toで］…に所属する
clean up,連,きれいにそうじする
letter,名,手紙
once,副,かつて、以前、昔
poor,形,貧しい、かわいそうな
rich,形,金持ちの、裕福な
sell,動,…を売る
candy,名,キャンディー、砂糖菓子
door-to-door,副,戸別に、1 軒ずつ
earn,動,…をかせぐ
few,形,少しの
coin,名,硬貨、コイン
knock,動,ノックする、コツコツたたく
well-off,形,裕福な
herself,代,彼女自身、自ら
a glass of ,連,コップ1杯（の量）の
a few ,連,少数の、いくらかの
be about to,連,今にも…しようとしている
about,形,今にも…しかけていて
pocket,名,ポケット
reply,動,…と答える
pay,動,（代金などを）払う
kindness,名,親切、親切な行為
away,動,はなれて、去って
wonder,動,思いをめぐらす
hope,動,…を望む、…だとよいと思う
with a smile,連,にっこり笑って
do well,連,順調にやる、元気になる
before,接,…する前に、…しないうちに
before,副,以前に、かつて
better,形,［good、wellの比較級］もっとよい、よくなって
much,副,［形容詞・副詞の比較級・最上級を強調して］ずっと、はるかに
smile,名,ほほえみ、微笑
ill,形,病気で、ぐあい［気分］が悪い
sent,動,sendの過去形
send,動,（…に）～をおくる、（人）を行かせる
operation,名,手術
woke,動,wakeの過去形
alive,形,生きて、生きた状態で
envelope,名,封筒
bill,名,請求書
afraid,形,こわがって
inside,副,内側に、内部に
paid,形,支払い済みの
go by,連,（時間が）過ぎる、通り過ぎる
in front of ,連,…の前で［に］
right away,連,すぐに
be afraid to ,連,…するのがこわい
in full ,連,全部
here’s,短,here is
away,動,［right awayで］すぐに
full,名,完全
right,副,ちょうど、すぐに
say,動,…と書いてある、示している
select,動,…を選ぶ
heritage,名,（文化的な）遺産
site,名,遺跡
natural,形,自然の
cultural,形,文化の
mixed,形,混合した
selection,名,選択
standard,名,基準
decide,動,…を決める
general,形,一般的な、総合的な、全般的な
conference,名,会議、評議会
fantastic,形,すばらしい、すてきな
hometown,名,故郷
floral,形,花の
region,名,地方、地域
known,動,knowの過去分詞
plant,名,植物
diversity,名,（…の）多様性、相違（点）
